case,variant,language,success,text_size,data_size,final_size,lines_of_code
async-enhanced,-Os,objc,true,31709,11708,24538,731
async-enhanced,-Os,swift,true,120807,7816,86128,462
async-enhanced,-Os,kotlin,true,70205,44040,57952,308
async,-Os,objc,true,102833,21820,76347,2122
async,-Os,swift,true,225800,21360,162332,1452
async,-Os,kotlin,true,194987,132976,163086,1005
callback,-Os,objc,true,60261,19608,46104,1448
callback,-Os,swift,true,84631,8024,60846,944
callback,-Os,kotlin,true,105749,80744,90173,907
collection-minimal,-Os,objc,true,5911,3276,4793,212
collection-minimal,-Os,swift,true,9707,896,6974,168
collection-minimal,-Os,kotlin,true,8847,3080,6809,154
data-classes-enhanced,-Os,objc,true,16151,10096,13325,381
data-classes-enhanced,-Os,swift,true,161777,25680,118380,505
data-classes-enhanced,-Os,kotlin,true,47741,14320,36283,317
data-classes,-Os,objc,true,29423,14348,23466,917
data-classes,-Os,swift,true,176673,13256,126322,1093
data-classes,-Os,kotlin,true,119520,25288,88722,683
extension-functions,-Os,objc,true,34350,17968,27639,1296
extension-functions,-Os,swift,true,48213,2920,34333,707
extension-functions,-Os,kotlin,true,60884,15824,45784,546
functional-style,-Os,objc,true,16839,6976,13182,486
functional-style,-Os,swift,true,62244,4896,44550,425
functional-style,-Os,kotlin,true,34481,27920,29721,280
generics-heavy,-Os,objc,true,13356,8848,11119,336
generics-heavy,-Os,swift,true,42477,7560,31246,259
generics-heavy,-Os,kotlin,true,21929,15920,18534,197
inheritance-deep,-Os,objc,true,8566,12424,8481,368
inheritance-deep,-Os,swift,true,17942,14072,15374,355
inheritance-deep,-Os,kotlin,true,40702,15048,31501,390
json-serialization,-Os,objc,true,16237,9700,13306,376
json-serialization,-Os,swift,true,62940,12200,46498,247
json-serialization,-Os,kotlin,true,26369,8656,20190,207
many-classes,-Os,objc,true,17523,23852,17036,928
many-classes,-Os,swift,true,21491,15056,18055,546
many-classes,-Os,kotlin,true,29174,16120,23646,385
null-safety,-Os,objc,true,27672,13096,21990,949
null-safety,-Os,swift,true,46368,8664,34190,822
null-safety,-Os,kotlin,true,33812,9624,25593,418
protocol-oriented,-Os,objc,true,14232,11620,12286,535
protocol-oriented,-Os,swift,true,40145,5016,29105,358
protocol-oriented,-Os,kotlin,true,27779,11544,21754,315
scope-functions,-Os,objc,true,35385,19948,28759,1087
scope-functions,-Os,swift,true,63946,10928,46948,829
scope-functions,-Os,kotlin,true,73289,17504,54803,698
string-processing,-Os,objc,true,21997,9124,17223,660
string-processing,-Os,swift,true,61581,4616,44030,600
string-processing,-Os,kotlin,true,32912,15192,26077,449
variable-capture,-Os,objc,true,10952,3952,8457,196
variable-capture,-Os,swift,true,22756,1800,16289,184
variable-capture,-Os,kotlin,true,16795,6888,13134,175
